ep,pid,ev,mu,sig,mean,best,ent,buf,step
358,3445746,+0.033,-0.00034,0.1,,,,,
359,3445746,-0.464,-0.00034,0.1,,,,,
360,3445746,-0.051,-0.00034,0.1,,,,,
361,3445746,-0.022,-0.00034,0.1,,,,,
362,3445746,+0.095,-0.00034,0.1,,,,,
363,3445746,-0.093,-0.00034,0.1,,,,,
364,3445746,-0.120,-0.00034,0.1,,,,,
365,3445746,-0.225,-0.00034,0.1,,,,,
366,3445746,-0.249,-0.00034,0.1,,,,,
367,3445746,-0.382,-0.00034,0.1,,,,,
368,3445746,-0.818,-0.00034,0.1,,,,,
369,3445746,-0.075,-0.00034,0.1,,,,,
370,3445746,+0.219,-0.00034,0.1,,,,,
371,3445746,+0.078,-0.00034,0.1,,,,,
372,3445746,-0.202,-0.00034,0.1,,,,,
373,3445746,-0.351,-0.00034,0.1,,,,,
374,3445746,+0.124,-0.00034,0.1,,,,,
375,3445746,+0.050,-0.00034,0.1,,,,,
376,3445746,-0.496,-0.00034,0.1,,,,,
377,3445746,+0.281,-0.00034,0.1,,,,,
378,3445746,-4.571,-0.00034,0.1,,,,,
379,3445746,-0.938,-0.00034,0.1,,,,,
380,3445746,+0.328,-0.00034,0.1,,,,,
381,3445746,-0.189,-0.00034,0.1,,,,,
382,3445746,-0.380,-0.00034,0.1,,,,,
383,3445746,+0.031,-0.00034,0.1,,,,,
384,3445746,-1.418,-0.00034,0.1,,,,,
385,3445746,-0.748,-0.00034,0.1,,,,,
386,3445746,-0.086,-0.00034,0.1,,,,,
387,3445746,+0.062,-0.00034,0.1,,,,,
388,3445746,+0.114,-0.00034,0.1,,,,,
389,3445746,+0.091,-0.00034,0.1,,,,,
390,3445746,-0.006,-0.00034,0.1,,,,,
391,3445746,-0.296,-0.00034,0.1,,,,,
392,3445746,-2.191,-0.00034,0.1,,,,,
393,3445746,-3.297,-0.00034,0.1,,,,,
394,3445746,-0.140,-0.00034,0.1,,,,,
395,3445746,-0.456,-0.00034,0.1,,,,,
396,3445746,+0.652,-0.00034,0.1,,,,,
397,3445746,+0.201,-0.00034,0.1,,,,,
398,3445746,-0.096,-0.00034,0.1,,,,,
399,3445746,-0.100,-0.00034,0.1,,,,,
400,3445746,+0.082,-0.00034,0.1,,,,,
401,3445746,+0.155,-0.00034,0.1,,,,,
402,3445746,+0.024,-0.00034,0.1,,,,,
403,3445746,-0.724,-0.00034,0.1,,,,,
404,3445746,-0.160,-0.00034,0.1,,,,,
405,3445746,-0.054,-0.00034,0.1,,,,,
406,3445746,-3.408,-0.00034,0.1,,,,,
407,3445746,-0.083,-0.00034,0.1,,,,,
408,3445746,-0.869,-0.00034,0.1,,,,,
409,3445746,+0.040,-0.00034,0.1,,,,,
410,3445746,-0.083,-0.00034,0.1,,,,,
411,3445746,-0.538,-0.00034,0.1,,,,,
412,3445746,-2.594,-0.00034,0.1,,,,,
413,3445746,+0.089,-0.00034,0.1,,,,,
414,3445746,-0.489,-0.00034,0.1,,,,,
415,3445746,+0.199,-0.00034,0.1,,,,,
416,3445746,-0.381,-0.00034,0.1,,,,,
417,3445746,-0.414,-0.00034,0.1,,,,,
418,3445746,+0.512,-0.00034,0.1,,,,,
419,3445746,-0.348,-0.00034,0.1,,,,,
420,3445746,-0.912,-0.00034,0.1,,,,,
421,3445746,+0.032,-0.00034,0.1,,,,,
422,3445746,-0.278,-0.00034,0.1,,,,,
423,3445746,+0.057,-0.00034,0.1,,,,,
424,3445746,-0.143,-0.00034,0.1,,,,,
425,3445746,-0.151,-0.00034,0.1,,,,,
426,3445746,-0.397,-0.00034,0.1,,,,,
427,3445746,-0.030,-0.00034,0.1,,,,,
428,3445746,-0.061,-0.00034,0.1,,,,,
429,3445746,-0.221,-0.00034,0.1,,,,,
430,3445746,-0.085,-0.00034,0.1,,,,,
431,3445746,-0.426,-0.00034,0.1,,,,,
432,3445746,-0.341,-0.00034,0.1,,,,,
433,3445746,-0.152,-0.00034,0.1,,,,,
434,3445746,-1.929,-0.00034,0.1,,,,,
435,3445746,-0.961,-0.00034,0.1,,,,,
436,3445746,-0.399,-0.00034,0.1,,,,,
437,3445746,+0.050,-0.00034,0.1,,,,,
438,3445746,-0.431,-0.00034,0.1,,,,,
439,3445746,-0.105,-0.00034,0.1,,,,,
440,3445746,-0.485,-0.00034,0.1,,,,,
441,3445746,-0.682,-0.00034,0.1,,,,,
442,3445746,-0.028,-0.00034,0.1,,,,,
443,3445746,-0.028,-0.00034,0.1,,,,,
444,3445746,+0.601,-0.00034,0.1,,,,,
445,3445746,-0.338,-0.00034,0.1,,,,,
446,3445746,+0.359,-0.00034,0.1,,,,,
447,3445746,+0.072,-0.00034,0.1,,,,,
448,3445746,-0.371,-0.00034,0.1,,,,,
449,3445746,-0.194,-0.00034,0.1,,,,,
450,3445746,+0.092,-0.00034,0.1,,,,,
451,3445746,+0.005,-0.00034,0.1,,,,,
452,3445746,-1.390,-0.00034,0.1,,,,,
453,3445746,-0.068,-0.00034,0.1,,,,,
454,3445746,-0.086,-0.00034,0.1,,,,,
455,3445746,-0.095,-0.00034,0.1,,,,,
456,3445746,+0.065,-0.00034,0.1,,,,,
457,3445746,-0.041,-0.00034,0.1,,,,,
458,3445746,-0.205,-0.00034,0.1,,,,,
459,3445746,+0.080,-0.00034,0.1,,,,,
460,3445746,-0.076,-0.00034,0.1,,,,,
461,3445746,+0.020,-0.00034,0.1,,,,,
462,3445746,-0.094,-0.00034,0.1,,,,,
