ep,pid,ev,mu,sig,mean,best,ent,buf,step
327,3699610,-3.300,-0.00034,0.1,,,,,
328,3699610,-0.133,-0.00034,0.1,,,,,
329,3699610,+0.200,-0.00034,0.1,,,,,
330,3699610,-1.762,-0.00034,0.1,,,,,
331,3699610,-0.022,-0.00034,0.1,,,,,
332,3699610,-3.978,-0.00034,0.1,,,,,
333,3699610,-0.361,-0.00034,0.1,,,,,
334,3699610,-0.496,-0.00034,0.1,,,,,
335,3699610,-0.030,-0.00034,0.1,,,,,
336,3699610,+0.023,-0.00034,0.1,,,,,
337,3699610,-0.083,-0.00034,0.1,,,,,
338,3699610,-7.576,-0.00034,0.1,,,,,
339,3699610,+0.260,-0.00034,0.1,,,,,
340,3699610,+0.135,-0.00034,0.1,,,,,
341,3699610,+0.457,-0.00034,0.1,,,,,
342,3699610,-0.343,-0.00034,0.1,,,,,
343,3699610,-1.944,-0.00034,0.1,,,,,
344,3699610,-0.204,-0.00034,0.1,,,,,
345,3699610,+0.178,-0.00034,0.1,,,,,
346,3699610,-0.664,-0.00034,0.1,,,,,
347,3699610,-0.337,-0.00034,0.1,,,,,
348,3699610,-0.016,-0.00034,0.1,,,,,
349,3699610,+0.100,-0.00034,0.1,,,,,
350,3699610,-0.308,-0.00034,0.1,,,,,
351,3699610,-1.686,-0.00034,0.1,,,,,
352,3699610,+0.141,-0.00034,0.1,,,,,
353,3699610,-6.846,-0.00034,0.1,,,,,
354,3699610,+0.471,-0.00034,0.1,,,,,
355,3699610,-2.326,-0.00034,0.1,,,,,
356,3699610,-0.305,-0.00034,0.1,,,,,
357,3699610,-0.036,-0.00034,0.1,,,,,
358,3699610,-0.068,-0.00034,0.1,,,,,
359,3699610,-0.069,-0.00034,0.1,,,,,
360,3699610,+0.181,-0.00034,0.1,,,,,
361,3699610,+0.269,-0.00034,0.1,,,,,
362,3699610,+0.531,-0.00034,0.1,,,,,
363,3699610,+0.482,-0.00034,0.1,,,,,
364,3699610,+0.473,-0.00034,0.1,,,,,
